s1_name,patch_id,latitude,longitude,country,season,climate_zone
S1B_IW_GRDH_1SDV_20170612T165809_33UUP_32_64,S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_32_64,48.036373931368665,12.840120739738445,Austria,Summer,"Cold, no dry season, warm summer"
S1B_IW_GRDH_1SDV_20170612T165809_33UUP_34_57,S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_34_57,48.11249768309926,12.869177175996546,Austria,Summer,"Cold, no dry season, warm summer"
S1B_IW_GRDH_1SDV_20170612T165809_33UUP_40_52,S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_40_52,48.16819780763097,12.963712562299445,Austria,Summer,"Cold, no dry season, warm summer"
S1B_IW_GRDH_1SDV_20170612T165809_33UUP_42_58,S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_42_58,48.10402637807036,12.99849001214938,Austria,Summer,"Cold, no dry season, warm summer"
S1A_IW_GRDH_1SDV_20170613T165043_33UUP_64_47,S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_64_47,48.228365102485135,13.349145119363795,Austria,Summer,"Cold, no dry season, warm summer"
S1A_IW_GRDH_1SDV_20170613T165043_33UUP_66_66,S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_66_66,48.02377478383745,13.38787983539976,Austria,Summer,"Cold, no dry season, warm summer"
S1B_IW_GRDH_1SDV_20170613T160455_34VER_23_61,S2A_MSIL2A_20170613T101031_N9999_R022_T34VER_23_61,63.363731490608124,21.563365374020968,Finland,Summer,"Cold, no dry season, warm summer"
S1B_IW_GRDH_1SDV_20170613T160455_34VER_25_67,S2A_MSIL2A_20170613T101031_N9999_R022_T34VER_25_67,63.29891877740277,21.60997292335269,Finland,Summer,"Cold, no dry season, warm summer"
S1B_IW_GRDH_1SDV_20170613T160455_34VER_26_41,S2A_MSIL2A_20170613T101031_N9999_R022_T34VER_26_41,63.57880850981495,21.640126263316876,Finland,Summer,"Cold, no dry season, warm summer"
S1B_IW_GRDH_1SDV_20170613T160455_34VER_26_65,S2A_MSIL2A_20170613T101031_N9999_R022_T34VER_26_65,63.32035275767521,21.634380900603286,Finland,Summer,"Cold, no dry season, warm summer"
S1B_IW_GRDH_1SDV_20170613T160455_34VER_27_52,S2A_MSIL2A_20170613T101031_N9999_R022_T34VER_27_52,63.46024160851031,21.66154753980453,Finland,Summer,"Cold, no dry season, warm summer"
S1B_IW_GRDH_1SDV_20170613T160455_34VER_28_41,S2A_MSIL2A_20170613T101031_N9999_R022_T34VER_28_41,63.57858487429954,21.68846403721691,Finland,Summer,"Cold, no dry season, warm summer"
S1B_IW_GRDH_1SDV_20170613T160455_34VER_31_50,S2A_MSIL2A_20170613T101031_N9999_R022_T34VER_31_50,63.48130162519826,21.75839161685989,Finland,Summer,"Cold, no dry season, warm summer"
S1B_IW_GRDH_1SDV_20170613T160455_34VER_34_45,S2A_MSIL2A_20170613T101031_N9999_R022_T34VER_34_45,63.53474291651772,21.832214527936337,Finland,Summer,"Cold, no dry season, warm summer"
S1B_IW_GRDH_1SDV_20170613T044822_34VER_37_55,S2A_MSIL2A_20170613T101031_N9999_R022_T34VER_37_55,63.4266218479774,21.901209229763015,Finland,Summer,"Cold, no dry season, warm summer"
S1B_IW_GRDH_1SDV_20170613T044822_34VER_40_49,S2A_MSIL2A_20170613T101031_N9999_R022_T34VER_40_49,63.49075768435824,21.975523092914578,Finland,Summer,"Cold, no dry season, warm summer"
S1B_IW_GRDH_1SDV_20170613T044822_34VER_43_67,S2A_MSIL2A_20170613T101031_N9999_R022_T34VER_43_67,63.29642408154609,22.040756066884736,Finland,Summer,"Cold, no dry season, warm summer"
S1B_IW_GRDH_1SDV_20170613T044822_34VER_44_31,S2A_MSIL2A_20170613T101031_N9999_R022_T34VER_44_31,63.683884859168906,22.079207592368455,Finland,Summer,"Cold, no dry season, warm summer"
S1B_IW_GRDH_1SDV_20170613T044822_34VER_46_34,S2A_MSIL2A_20170613T101031_N9999_R022_T34VER_46_34,63.651211333334906,22.126436133030115,Finland,Summer,"Cold, no dry season, warm summer"
S1B_IW_GRDH_1SDV_20170613T044822_34VER_47_28,S2A_MSIL2A_20170613T101031_N9999_R022_T34VER_47_28,63.715622326780085,22.153286492391544,Finland,Summer,"Cold, no dry season, warm summer"
S1B_IW_GRDH_1SDV_20170613T044822_34VER_47_66,S2A_MSIL2A_20170613T101031_N9999_R022_T34VER_47_66,63.30646068106251,22.136897063765826,Finland,Summer,"Cold, no dry season, warm summer"
S1B_IW_GRDH_1SDV_20170613T044822_34VER_50_41,S2A_MSIL2A_20170613T101031_N9999_R022_T34VER_50_41,63.57505111000737,22.22010763075515,Finland,Summer,"Cold, no dry season, warm summer"
